Work Item ID,Issue Type,Parent ID,Epic Link,Summary,Description,Owner,Channel,Start Date,Due Date
S017,Subtask,T005,,Blog – Copy,Draft the Travis-bylined POV; lean on the team-update signal and the Staffbase/LumApps/Simpplr verbatim ad copy quoted in the upstream brief.,,Blog Posts,2026-06-10,2026-06-12
S018,Subtask,T005,,Blog – Image Creation,Create or source hero image (a pull-quote card or a visual counter-frame on governance vs. content).,,Blog Posts,2026-06-12,2026-06-15
S019,Subtask,T005,,Blog – Approval,Travis reviews; Furqan edits and signs off for publishing.,,Blog Posts,2026-06-15,2026-06-16
S020,Subtask,T005,,Blog – Implementation / Publishing,Stage in Webflow with CMS properties; schedule publish.,,Blog Posts,2026-06-16,2026-06-17
T006,Task,,MCM-992,Social Media - LinkedIn - Link post: How to Claim Your Strategic Seat in Internal Communications (Wed amplification),"Topic: Wed amplification link post for the Strategic Seat blog (publishes Mon 2026-06-15). Identity-crisis angle (AI eats the tactical layer; leadership has not yet pulled IC into the strategic conversation). Pairs with the Thu 2026-06-18 link post (T007) which carries the playbook angle (5 decisions + 4 conversations + executive vocabulary). Both push the same blog with different hooks. Replaces the previously planned Rachel Folz webinar registration push (webinar delayed).
Post type: static-blog
Wraps: claim-strategic-seat-internal-communications
Copy:
[CAPTION]

The IC identity crisis of 2026: AI moved into the tactical work IC used to own (the drafting, the formatting, the segmentation). Leadership has not, yet, moved IC into the conversations where the work IC should now own gets decided.

That gap is what ""be more strategic"" points at without saying.

The Cerkl blog from Monday names the five decisions IC managers and directors should be in the room for in 2026. The four conversations to start having now to get pulled into those rooms. And the executive vocabulary to use once you are there.

For practitioners caught between a tactical layer that is shrinking and a strategic layer that is still gatekept, the piece is a working playbook. The language. The metrics. The specific moves.

Read the full breakdown:

https://cerkl.com/blog/claim-strategic-seat-internal-communications

[ASSET SPEC]

Visual concept: LinkedIn link card. Auto-rendered from the blog URL.
Brand direction: Pre-flight check before posting — confirm Webflow meta title, meta description, and OG image are live and rendering correctly in the LinkedIn preview. If the OG image is missing or off-brand, regenerate before scheduling.

[HASHTAGS]

#InternalCommunications #EmployeeEngagement #ICLeadership",712020:77c51683-fca4-4aee-9e06-929c5b3042ea,Social Media,2026-06-12,2026-06-17
S021,Subtask,T006,,LinkedIn – Copy,Draft the post copy.,,Social Media,2026-06-12,2026-06-15
S022,Subtask,T006,,LinkedIn – Asset Creation,(N/A for link posts — LinkedIn auto-renders link card from blog URL; pre-flight Webflow meta/OG before scheduling.),,Social Media,2026-06-12,2026-06-15
S023,Subtask,T006,,LinkedIn – Approval,Review post + asset; sign off.,,Social Media,2026-06-16,2026-06-16
S024,Subtask,T006,,LinkedIn – Implementation / Publishing,Schedule in LinkedIn / Buffer / native; confirm publish.,,Social Media,2026-06-17,2026-06-17
T007,Task,,MCM-992,Social Media - LinkedIn - Link post: How to Claim Your Strategic Seat in Internal Communications,"Topic: Link post pointing to the strategic-seat blog
Post type: static-blog
Wraps: claim-strategic-seat-internal-communications
Copy:
[CAPTION]

""Be more strategic"" is the most useless advice an IC manager gets from their CHRO. It names the thing without telling you how.

There are five decisions IC should be in the room for in 2026: AI rollout and policy, change communications for M&A or restructuring, crisis comms, the employee value proposition, and cross-functional measurement of engagement and retention signals. Each one has a version where IC is consulted late, and a version where IC is the architect.

Four specific conversations move you from the first version to the second. The new blog walks through the language to use, the metrics to bring, and the executive-vocabulary upgrade that gets IC pulled into the strategy meeting earlier.

For IC managers and directors caught between AI taking the tactical work and not being in the leadership conversation yet, this is a practitioner's playbook, not a pep talk.

Full breakdown:

https://cerkl.com/blog/claim-strategic-seat-internal-communications

[ASSET SPEC]

Visual concept: LinkedIn link card. Auto-rendered from the blog URL.
Brand direction: Pre-flight check before posting — confirm Webflow meta title, meta description, and OG image are live and rendering correctly in the LinkedIn preview. If the OG image is missing or off-brand, regenerate before scheduling.

[HASHTAGS]

#InternalCommunications #EmployeeEngagement #ICLeadership",712020:77c51683-fca4-4aee-9e06-929c5b3042ea,Social Media,2026-06-15,2026-06-18
S025,Subtask,T007,,LinkedIn – Copy,Draft the post copy.,,Social Media,2026-06-15,2026-06-15
S026,Subtask,T007,,LinkedIn – Asset Creation,Create or source the static asset (typically the blog hero or a pull-quote card).,,Social Media,2026-06-15,2026-06-16
S027,Subtask,T007,,LinkedIn – Approval,Review post + asset; sign off.,,Social Media,2026-06-17,2026-06-17
S028,Subtask,T007,,LinkedIn – Implementation / Publishing,Schedule in LinkedIn / Buffer / native; confirm publish.,,Social Media,2026-06-18,2026-06-18
T008,Task,,MCM-992,Social Media - LinkedIn - Short Video (out-of-band),"Short video — topic, wrap, and copy planned outside the content-plan system. This row exists for Jira capacity tracking only. Furqan fills topic + asset at publish time.",712020:77c51683-fca4-4aee-9e06-929c5b3042ea,Social Media,2026-06-15,2026-06-18
